Channel Name
"US (ESPN+ 001) | Melbourne Victory vs. Perth Glory Jan 02 3:30AM ET (2026-01-02 03:30:00)"
"US (ESPN+ 002) | Clinton & Friends Jan 02 10:00AM ET (2026-01-02 10:00:00)"
"US (ESPN+ 003) | ACL Myrtle Beach Signature (National College Singles) Jan 02 10:30AM ET (2026-01-02 10:30:00)"
"US (ESPN+ 004) | New Mexico State vs. Florida International Jan 02 12:00PM ET (2026-01-02 12:00:00)"
"US (ESPN+ 005) | Fri_ 1/2 _ The Rich Eisen Show Jan 02 12:00PM ET (2026-01-02 12:00:05)"
"US (ESPN+ 006) | The Pat McAfee Show Jan 02 12:00PM ET (2026-01-02 12:00:10)"
"US (ESPN+ 007) | Denmark vs. Germany (Quarterfinals) Jan 02 12:30PM ET (2026-01-02 12:30:00)"
"US (ESPN+ 008) | #7 UConn vs. Providence Jan 02 2:00PM ET (2026-01-02 14:00:00)"
"US (ESPN+ 009) | Alfred State vs. Cornell Jan 02 2:00PM ET (2026-01-02 14:00:05)"
"US (ESPN+ 010) | Vegas Golden Knights vs. St. Louis Blues Jan 02 2:30PM ET (2026-01-02 14:30:00)"
"US (ESPN+ 011) | Vegas Golden Knights vs. St. Louis Blues Jan 02 2:30PM ET (2026-01-02 14:30:05)"
"US (ESPN+ 012) | Rayo Vallecano vs. Getafe CF Jan 02 2:50PM ET (2026-01-02 14:50:00)"
"US (ESPN+ 013) | En Español_Rayo Vallecano vs. Getafe CF Jan 02 2:55PM ET (2026-01-02 14:55:00)"
"US (ESPN+ 014) | Freddie & Harry Jan 02 3:00PM ET (2026-01-02 15:00:00)"
"US (ESPN+ 015) | Bradley vs. Belmont Jan 02 3:00PM ET (2026-01-02 15:00:05)"
"US (ESPN+ 016) | Stonehill vs. #11 Princeton Jan 02 3:00PM ET (2026-01-02 15:00:10)"
"US (ESPN+ 017) | Mount St. Mary`s vs. Merrimack Jan 02 3:00PM ET (2026-01-02 15:00:15)"
"US (ESPN+ 018) | Fairfield vs. Canisius Jan 02 4:00PM ET (2026-01-02 16:00:00)"
"US (ESPN+ 019) | Sacred Heart vs. Niagara Jan 02 4:00PM ET (2026-01-02 16:00:05)"
"US (ESPN+ 020) | Lockheed Martin Armed Forces Bowl Trophy Presentation  Jan 02 4:30PM ET (2026-01-02 16:30:00)"
"US (ESPN+ 021) | Czechia vs. Switzerland (Quarterfinals) Jan 02 4:30PM ET (2026-01-02 16:30:05)"
"US (ESPN+ 022) | #3 Minnesota vs. Sacred Heart Jan 02 5:00PM ET (2026-01-02 17:00:00)"
"US (ESPN+ 023) | Fri_ 1/2 _ ESPN FC Jan 02 5:00PM ET (2026-01-02 17:00:05)"
"US (ESPN+ 024) | Sam Houston vs. Western Kentucky Jan 02 5:00PM ET (2026-01-02 17:00:10)"
"US (ESPN+ 025) | Union vs. Yale Jan 02 6:00PM ET (2026-01-02 18:00:00)"
"US (ESPN+ 026) | Dartmouth vs. Vermont Jan 02 6:00PM ET (2026-01-02 18:00:05)"
"US (ESPN+ 027) | RPI vs. #13 Brown Jan 02 6:00PM ET (2026-01-02 18:00:10)"
"US (ESPN+ 028) | IU Indianapolis vs. Northern Kentucky Jan 02 6:00PM ET (2026-01-02 18:00:15)"
